"","Neuroticism","Extraversion","Openness","Agreeableness","Conscientiousness","age","gender","home","drink"
"59",2.583,3.354,3.917,3.75,3,79,"Male","South","Yes"
"60",3.875,2.646,3.625,2.521,3.292,21,"Male","North","No"
"61",3,3.667,3.479,3.354,3.021,73,"Male","South","No"
"62",2.607,3.542,3.729,3.314,3.479,25,"Male","South","No"
"63",2.878,2.979,3.25,2.981,3.25,74,"Male","South","No"
"64",3.292,3.5,3.61,2.813,3.167,64,"Male","North","No"
"65",2.792,3.396,3.167,3.083,2.604,66,"Male","South","No"
"66",2.8,3.625,3.271,3.354,2.729,65,"Male","South","No"
"67",2.771,3.417,3.583,3.417,3.583,41,"Male","South","No"
"68",3.104,3.375,3.208,3.875,3.063,25,"Male","North","Yes"
"69",3.195,3.458,3.792,3.646,2.521,70,"Male","North","Yes"
"70",2.917,3.438,3.604,3.354,3.056,80,"Male","South","No"
"71",3.021,3.604,3.208,2.771,3.354,55,"Male","North","No"
"72",2.521,3.479,3.542,3.438,2.625,51,"Male","South","No"
"73",3.063,3.729,3.896,3.042,2.542,65,"Male","North","No"
"74",2.979,3.542,3.875,3.271,3.292,21,"Male","South","No"
"75",3.104,2.75,3.563,3.042,2.688,67,"Male","North","No"
"76",3.604,3.5,3.458,3.479,3.583,68,"Male","North","No"
"77",2.688,3.479,3.979,3.333,3.875,57,"Male","South","No"
"78",1.646,3.958,3.896,4.021,4.417,55,"Male","South","Yes"
"79",2.521,3.688,3.896,3.417,3.729,37,"Male","South","No"
"80",3.5,3.479,3.521,3.083,3.354,55,"Male","North","No"
"81",3.583,2.583,3.083,3.458,3,50,"Male","North","No"
"82",3,3.417,3.396,3.375,3.16,43,"Male","South","No"
"83",3.792,3.021,4.438,3.438,2.833,76,"Male","North","No"
"84",1.75,4.229,3.646,3.896,3.708,59,"Male","South","Yes"
"85",3.104,3.354,3.813,3.208,2.438,42,"Male","North","No"
"86",3.688,2.958,3.208,3.417,2.854,52,"Male","North","No"
"87",3.708,2.771,3.833,2.729,3.521,29,"Male","North","No"
"88",3.25,3.271,3.333,3.396,2.896,64,"Male","North","No"
"89",2.333,3.583,3.729,3.788,2.813,70,"Male","South","Yes"
"90",2.354,3.563,3.3,3.792,2.75,35,"Male","South","Yes"
"91",2.604,2.979,3.646,3.104,3.583,70,"Male","South","No"
"92",3.146,3.771,3.729,3.375,2.958,65,"Male","North","No"
"93",3.292,3.167,3.813,3.146,3.417,71,"Male","North","No"
"94",3.146,3.292,3.229,3.521,2.979,43,"Male","North","Yes"
"95",2.854,2.833,2.896,3.563,3.292,77,"Male","South","Yes"
"96",2.833,3.313,3.396,3.479,3.271,34,"Male","South","No"
"97",3.313,3.646,4.104,3.833,2.583,48,"Male","North","Yes"
"98",2.521,3.25,3.5,3.126,3.125,46,"Male","South","No"
"99",2.833,3.875,3.5,3.438,4.188,69,"Male","South","No"
"100",3.146,3.833,3.583,2.708,3.375,34,"Male","North","No"
"101",2.958,3.208,3.438,3.729,3.542,45,"Male","South","Yes"
"102",2.979,3.333,3.021,3.729,3.063,79,"Male","South","Yes"
"103",2.333,3.979,3.896,3.604,3.979,23,"Male","South","Yes"
"104",2.819,3.396,2.958,3.104,3.271,53,"Male","South","No"
"105",2.625,3.313,3.595,3.354,3.5,55,"Male","South","No"
"106",2.688,2.896,3.417,3.271,3.479,69,"Male","South","No"
"107",2.542,4.188,3.729,2.563,2.958,49,"Male","South","No"
"108",2.313,3.604,4.292,3.854,3.729,33,"Male","South","Yes"
"109",3.229,3.708,3.964,2.75,2.979,51,"Male","North","No"
"110",2.292,3.688,3.479,3.5,3.854,31,"Male","South","No"
"111",3.563,3.563,3.313,4,3.336,70,"Male","South","Yes"
"112",3.146,3.563,3.813,3.438,2.542,51,"Male","South","No"
"113",2.563,3.313,3.53,3.146,3.125,62,"Male","South","No"
"114",2.896,3.729,3.563,3.229,3.271,42,"Male","South","No"
"115",2.396,3.792,3.854,3.25,3.708,80,"Male","South","No"
"116",3,3.572,3.417,2.979,3.208,75,"Male","South","No"
"117",2.67,3.938,3.896,3.606,3.188,54,"Male","South","Yes"
"118",3.146,4.167,4.083,3.104,3.125,45,"Male","South","No"
"119",2.563,3.479,3.167,3.458,3.188,75,"Male","South","No"
"120",2.958,3.75,3.229,3.333,2.979,49,"Male","South","No"
"121",2.857,3.729,3.75,3.294,3.146,68,"Male","South","No"
"122",3,3.771,3.771,3.563,2.771,54,"Male","South","Yes"
"123",2.583,3.333,3.208,2.917,3.167,32,"Male","South","No"
"124",3.229,3.625,4.125,3.042,3.438,28,"Male","South","No"
"125",2.646,3.229,3.479,3.375,3.5,68,"Male","South","No"
"126",2.667,3.625,3.688,3.521,3.458,35,"Male","South","Yes"
"127",2.559,3.292,3.646,3.479,3.479,31,"Male","South","No"
"128",2.917,3.62,3.917,3.479,2.792,39,"Male","South","No"
"129",2.354,2.563,3.542,3.521,3.917,63,"Male","South","Yes"
"130",3.292,3.354,3.333,4.083,3.854,44,"Male","North","Yes"
"131",3.125,3.646,4.083,3.729,2.917,63,"Male","North","Yes"
"132",3.021,2.625,3.708,3.292,3.521,62,"Male","North","No"
"133",2.188,3.958,4.083,3.271,3.542,56,"Male","South","No"
"134",2.563,4.25,3.604,2.438,3.021,58,"Male","South","No"
"135",2.271,3.875,3.25,2.375,3.188,70,"Male","South","No"
"136",2.667,3.708,2.958,3.604,2.396,60,"Male","South","Yes"
"137",2.708,3.104,3.667,3.542,3.313,66,"Male","South","Yes"
"138",2.771,3.313,3.75,3.438,2.979,80,"Male","South","No"
"139",2.625,3.063,3.313,3.229,3.396,20,"Male","South","No"
"140",2.125,2.396,3.292,3.938,3.708,46,"Male","South","Yes"
"141",2.708,3.813,3.459,3.063,3.25,36,"Male","South","No"
"142",3.625,3.25,3.146,3.167,3.25,78,"Male","North","No"
"143",3.479,3.125,2.979,3.313,3.188,57,"Male","North","No"
"144",2,3.021,3.792,3.5,2.938,67,"Male","South","No"
"145",3.271,3.188,3.167,3.854,2.833,48,"Male","North","Yes"
"146",2.792,3.688,3.5,3.375,3.188,58,"Male","South","No"
"147",2.76,3.604,3.979,3.667,2.979,31,"Male","South","Yes"
"148",1.896,3.813,3.75,2.333,4.021,78,"Male","South","No"
"149",2.333,3.375,4.208,4.417,3.229,78,"Male","South","Yes"
"150",3.25,3.854,3.833,3.563,3.5,79,"Male","North","Yes"
"151",3.857,3.583,3.958,3.294,2.741,60,"Male","North","No"
"152",2.75,3.625,3.229,3.438,2.813,40,"Male","South","No"
"153",2.854,3.75,3.271,3.542,2.771,23,"Male","South","Yes"
"154",2.542,3.458,3.729,3.521,3.438,22,"Male","South","Yes"
"155",2.979,3.229,3.313,3.771,3.438,30,"Male","South","Yes"
"156",2.688,3.917,4.167,3.667,3.75,26,"Male","South","Yes"
"157",3.063,3.521,2.875,3,3.75,34,"Male","North","No"
"158",2.625,3.521,3.604,3.542,2.837,71,"Male","South","Yes"
"159",2.479,3.771,3.25,3.833,2.646,33,"Male","North","Yes"
"160",2.271,3.563,3.583,3.333,3.083,48,"Male","North","No"
"161",2.958,3.375,3.292,3.167,3.292,25,"Male","North","No"
"162",2.586,3.688,3.354,3.627,3.25,54,"Male","North","Yes"
"163",3.521,3.042,3.354,3.354,2.75,59,"Male","North","No"
"164",2.375,3.083,3.542,3.042,3.708,49,"Male","North","No"
"165",2.292,4.271,3.75,3.833,3.625,78,"Male","North","Yes"
"166",3.086,3.333,3.208,3.356,3.604,64,"Male","North","No"
"167",2.563,3.521,3.667,3.5,3.5,58,"Male","North","No"
"168",3.375,3.474,3.458,3.504,2.931,50,"Male","North","Yes"
"169",2.75,3.667,3.542,3.167,3.167,50,"Male","North","No"
"170",2.792,3.167,3.063,3.021,3.063,71,"Male","North","No"
"171",2.708,3.146,3.625,3.583,3.771,35,"Male","North","Yes"
"172",3.188,3.667,3.583,2.854,2.979,73,"Male","North","No"
"173",2.563,3.396,3.063,3.938,3.708,80,"Male","North","Yes"
"174",2.149,4.021,3.792,2.585,2.75,60,"Male","North","No"
"175",2.938,3.604,4.125,3.708,3.542,68,"Male","North","Yes"
"176",2.813,3.625,3.438,3.271,3.354,48,"Male","South","No"
"177",2.857,3.729,3.271,3.585,2.813,36,"Male","South","Yes"
"178",3.021,3.438,3.167,3.646,4.042,60,"Male","North","Yes"
"179",3.479,3.125,3.5,2.917,2.771,56,"Male","North","No"
"180",2.625,3.292,3.896,3.292,3.25,32,"Male","South","No"
"181",3.104,2.979,4.125,3.271,2.838,64,"Male","North","No"
"182",2.208,4.083,3.417,3.292,3.75,80,"Male","South","No"
"183",3.188,3.167,3.688,3.521,2.833,56,"Male","North","Yes"
"184",2.667,3.521,3.563,3.646,3.438,52,"Male","South","Yes"
"185",2.732,3.771,3.271,3.161,2.896,22,"Male","South","No"
"186",2.438,3.458,3.5,3.813,3.438,31,"Male","South","Yes"
"187",2.482,3.5,3.852,3.252,2.75,45,"Male","South","No"
"188",3.688,3.125,4.176,4.083,2.542,60,"Male","North","Yes"
"189",3.604,3.188,3.813,3.563,3.458,51,"Male","North","Yes"
"190",2.979,2.688,3.167,3.25,2.792,21,"Male","South","No"
"191",2.208,3.688,3.708,3.604,3.68,27,"Male","South","Yes"
"192",3.688,3.375,3.542,3.167,2.896,66,"Male","North","No"
"193",2.792,3,3.313,3.333,3.271,22,"Male","South","No"
"194",3.333,3.583,3.521,3.555,3.146,73,"Male","North","No"
"195",2.333,3.208,3.333,3.958,3.896,18,"Male","South","No"
"196",2.292,3.792,3.396,3.208,3.917,26,"Male","South","No"
"197",2.646,4.188,3.708,4.021,2.979,47,"Male","South","No"
"198",2.045,3.271,4.083,4.085,3.396,41,"Male","South","No"
"199",2.979,2.854,3.063,3.479,2.875,41,"Male","South","No"
"200",2.792,3.646,4.188,3.083,3.229,66,"Male","South","No"
"201",2.708,3.542,3.688,3.771,3.229,42,"Male","South","No"
"202",2.708,3.417,3.146,1.938,2.979,56,"Male","South","No"
"203",2.688,3.354,3.042,3.375,3.188,77,"Male","South","No"
"204",3.083,3.646,3.375,3.479,3.813,52,"Male","North","No"
"205",2.875,3.917,3.75,2.979,2.771,38,"Male","South","No"
"206",2.292,2.854,4.188,4.271,3.188,74,"Male","South","No"
"207",3.354,3.917,3.479,3.167,3.938,68,"Male","North","No"
"208",2.458,4,3.563,3.5,3.271,42,"Male","South","No"
"209",2.708,3.333,3.604,3.458,3.167,22,"Male","South","No"
"210",2.458,3.5,3.5,3.167,3.563,36,"Male","South","No"
"211",2.75,3.333,3.646,3.563,3.25,51,"Male","South","No"
"212",2.583,3.583,3.229,3.646,2.958,78,"Male","South","No"
"213",3.5,2.792,3.188,3.229,3.104,79,"Male","North","No"
"214",2.67,3.354,3.438,3.377,3.771,72,"Male","South","No"
"215",3.333,2.813,2.875,3.042,3.354,50,"Male","North","No"
"216",3.086,3.042,3.896,3.585,3.438,61,"Male","North","No"
"217",2.75,3.396,3.5,3.521,3.396,46,"Male","South","No"
"218",2.792,3.521,3.458,3.625,3.229,77,"Male","South","No"
"219",2.417,3.542,3.542,3.542,2.75,23,"Male","South","No"
"220",2.583,3.771,3.896,3.313,3.292,23,"Male","South","No"
"221",3.313,3.292,3.771,3.979,3.146,53,"Male","North","Yes"
"222",2.771,3.479,3.563,3.479,3.333,21,"Male","South","No"
"223",2.958,3.646,3.583,3.063,2.979,37,"Male","South","No"
"224",2.771,3.5,3.917,3.458,2.854,51,"Male","South","No"
"225",2.604,3.75,3.333,3.646,3.021,31,"Male","South","Yes"
"226",2.375,4.125,3.667,3.938,3.23,74,"Male","South","Yes"
"227",3.208,3.771,3.563,3.5,3.063,21,"Male","North","No"
"228",3.086,3.479,3.417,3.544,2.979,20,"Male","North","Yes"
"229",2.813,3.458,3.417,3.229,3.149,37,"Male","South","No"
"230",2.438,4,4.188,3.188,3.375,33,"Male","South","No"
"231",2.854,3.875,3.792,3.813,3.313,30,"Male","South","Yes"
"232",3.063,3.625,3.646,3.229,3.417,42,"Male","North","No"
"233",2.458,3.208,3.208,3.979,3.729,59,"Male","South","Yes"
"234",2.5,3.042,3.813,3.292,3.229,67,"Male","South","No"
"235",2.021,3.875,3.875,3.25,3.25,37,"Male","South","No"
"236",2.313,3.792,3.313,3.667,3.604,51,"Male","South","Yes"
"237",2.938,3.417,3.583,3.854,2.604,32,"Male","South","Yes"
"238",2.729,3.667,3.417,3.708,3.042,38,"Male","South","Yes"
"239",2.354,3.563,3.542,3.458,3.146,75,"Male","South","No"
"240",2.774,3.542,3.188,3.335,2.875,69,"Male","South","No"
"241",3.604,3.125,3.396,3.25,2.688,24,"Male","North","No"
"242",2.833,3.201,3.404,3.442,3.402,56,"Male","South","No"
"243",2.521,3.401,3.396,3.5,3.25,58,"Male","South","No"
"244",2.625,3.813,3.521,3.188,3.271,77,"Male","South","No"
"245",2.999,4.125,4.458,3.104,2.808,73,"Male","South","No"
"246",3.646,2.619,3.479,3.417,2.875,76,"Male","North","No"
"247",2.813,2.667,3.208,3.063,3.396,22,"Male","South","No"
"248",2.583,3.625,3.479,3.271,3.354,76,"Male","South","No"
"249",3.188,3.188,3.896,4.167,3.479,37,"Male","North","Yes"
"250",2.813,3.021,4.021,3.875,3.208,32,"Male","South","Yes"
"251",1.896,3.354,3.188,3.333,3.083,71,"Male","South","No"
"252",2.604,3.417,4.042,3.354,3.229,21,"Male","South","No"
"253",2.375,3.521,3.25,3.354,3.646,69,"Male","South","No"
"254",2.542,3.854,4,3.167,3.583,65,"Male","South","No"
"255",2.375,3.375,3.854,3.5,3.396,21,"Male","South","No"
"256",2.896,2.521,3.494,4.063,4.229,30,"Male","South","Yes"
"257",3.208,3.266,3.542,3.542,3.167,38,"Male","North","Yes"
"258",2.958,3.708,4.25,2.979,3.396,74,"Male","South","No"
"259",2.125,3.667,3.438,3.5,3.5,73,"Male","South","No"
"260",2.958,3.5,3.667,3.646,3.521,18,"Male","South","Yes"
"261",2.833,3.313,3.5,3.625,3.563,21,"Male","South","Yes"
"262",2.729,3.875,3.854,3.063,3.333,73,"Male","South","No"
"263",2.604,3.146,3.271,3.5,3.167,57,"Male","South","No"
"264",2.583,3.646,3.646,3.167,2.938,68,"Male","South","No"
"265",2.646,3.375,3.792,3.729,3.292,75,"Male","South","Yes"
"266",3.75,3.292,3.896,4,3.104,76,"Male","North","Yes"
"267",3,3.313,4.063,4.125,2.479,73,"Male","South","Yes"
"268",2.417,3.917,3.25,3.646,3.354,62,"Male","South","Yes"
"269",2.771,3.75,3.333,3.021,3.5,60,"Male","South","No"
"270",3.208,3.458,3.646,2.979,3.271,38,"Male","North","No"
"271",2.063,3.476,3.188,3.563,3.021,45,"Male","South","Yes"
"272",2.688,3.458,3.792,3.438,2.979,39,"Male","South","No"
"273",1.917,3.25,3.646,3.417,3.583,21,"Male","South","No"
"274",4.354,3.063,4.229,3.771,2.854,19,"Male","North","Yes"
"275",3.813,3.417,3.25,2.813,2.792,19,"Male","North","No"
"276",3.688,2.958,3.563,3.75,2.708,64,"Male","North","Yes"
"277",3.146,2.938,3.792,2.958,2.729,56,"Male","North","No"
"278",3.063,3.896,3.896,3.375,2.667,56,"Male","North","No"
"279",2.292,3.578,3.521,3.792,3.458,40,"Male","South","Yes"
"280",3.229,3.098,3.521,3.438,2.771,62,"Male","North","No"
"281",3.563,2.771,3.542,2.938,2.625,66,"Male","North","No"
"282",2.625,3.25,2.917,2.979,2.813,29,"Male","South","No"
"283",3.25,3.896,3.646,3.417,3.167,61,"Male","North","No"
"284",2.313,3.542,3.583,3.146,3.458,36,"Male","South","No"
"285",2.771,4.063,3.854,3.729,3.708,36,"Male","South","Yes"
"286",2.603,3.625,2.917,2.958,2.958,56,"Male","South","No"
"287",3.208,3.521,4.083,3.896,3.167,49,"Male","North","Yes"
"288",2.396,3.688,4.354,3.604,2.938,69,"Male","South","Yes"
"289",2.708,3.979,3.583,2.771,3.021,64,"Male","South","No"
"290",3.625,2.333,2.938,3.375,3.208,49,"Male","North","No"
"291",2.938,3.604,3.938,3.271,3.354,69,"Male","South","No"
"292",3.542,3.167,3.438,3.375,3.458,26,"Male","North","No"
"293",2.042,3.396,3.167,2.854,3.938,63,"Male","South","No"
"294",2.167,3.917,4,3.75,3.417,56,"Male","South","Yes"
"295",1.833,3.896,3.563,3.25,3.292,29,"Male","South","No"
"296",2.396,3.563,3.458,3.708,3.333,28,"Male","South","Yes"
"297",2.083,3.542,3.313,2.833,3.479,48,"Male","South","No"
"298",2.542,3.542,3.833,3.688,3.542,53,"Male","South","Yes"
"299",2.333,2.771,3.438,2.313,3.563,24,"Male","South","No"
"300",2.396,3.542,3.75,3.479,3.417,80,"Male","South","No"
"301",2.938,3.604,3.833,3.625,3.188,71,"Male","South","Yes"
"302",3.021,3.271,3.167,2.896,3.125,60,"Male","North","No"
"303",2.021,3.813,3.813,3.479,3.542,52,"Male","South","No"
"304",2.792,3.938,3.313,3.333,3.188,52,"Male","South","No"
"305",2.479,3.604,3.417,3.542,3.333,27,"Male","South","Yes"
"306",2.604,4.229,4.292,3.458,3.25,70,"Male","South","No"
"307",2.833,3.396,2.958,2.979,3.458,47,"Male","South","No"
"308",2.854,3.292,3.896,2.542,2.542,41,"Male","South","No"
"309",3.333,3.771,3.417,3.542,3.188,72,"Male","North","Yes"
"310",2.667,3.396,3.25,2.667,2.708,66,"Male","South","No"
"311",2.479,3.521,3.562,3.813,3.167,66,"Male","South","Yes"
"312",3.146,3.604,3.229,3.125,3.563,23,"Male","North","No"
"313",2.938,3.188,3.604,3.583,3,75,"Male","South","Yes"
"314",2.603,3.292,3.241,3.042,3.146,63,"Male","South","No"
"315",3.208,2.919,2.791,2.938,2.875,30,"Male","North","No"
"316",3.104,3.25,3.917,2.813,3.063,66,"Male","North","No"
"317",3.333,3.854,3.729,3.438,2.271,46,"Male","North","No"
"318",3.688,2.744,4.104,2.792,2.917,37,"Male","North","No"
"319",2.542,3.646,3.625,3.5,3.229,64,"Male","South","No"
"320",2.604,3.479,3.188,3.354,3.604,23,"Male","South","No"
"321",2.646,3.313,3.25,3.354,2.521,42,"Male","South","No"
"322",4.083,3.438,4.083,2.521,3.375,39,"Male","North","No"
"323",2.208,4.167,3.542,3.649,3.354,69,"Male","South","Yes"
"324",2.917,3.375,3.771,3.563,2.938,73,"Male","South","Yes"
"325",2.583,3.979,3.667,3.188,2.25,25,"Male","South","No"
"326",3.021,3.5,3.104,3.896,3.833,19,"Male","North","Yes"
"327",2.167,3.188,3.292,3.375,3.354,19,"Male","South","No"
"328",2.5,3.521,3.188,3.5,3.833,54,"Male","South","No"
"329",2.396,3.688,3.5,3.479,2.854,80,"Male","South","No"
"330",3.104,2.938,3.896,3.979,3.525,71,"Male","North","Yes"
"331",3.063,3.979,4.083,3.313,3.021,59,"Male","North","No"
"332",2.208,3.896,3.417,2.896,3.292,20,"Male","South","No"
"333",3.188,3.104,3.019,3.699,3.468,23,"Male","North","Yes"
"334",2.813,3.604,3.667,3.896,3.625,34,"Male","South","Yes"
"335",2.646,3.708,3.938,3.833,3.938,50,"Male","South","Yes"
"336",2.458,3.813,3.729,3.167,3.417,38,"Male","South","No"
"337",2.583,3.354,3.688,3.396,2.917,76,"Male","South","No"
"338",2.438,3.833,3.708,3.75,3.438,37,"Male","South","Yes"
"339",2.917,3.646,3.375,3.375,3.542,37,"Male","South","No"
"340",2.896,3.479,3.375,3.688,3,71,"Male","South","Yes"
"341",2.708,3.792,3.604,3.75,3.208,63,"Male","South","Yes"
"342",2.292,3.792,3.979,3.25,3.771,60,"Male","South","No"
"343",3.125,3.563,3.521,3.458,2.771,19,"Male","North","No"
"344",2.5,3.688,3.354,3.688,3.813,79,"Male","South","Yes"
"345",3.458,3.476,3.271,3.188,3.146,37,"Male","North","No"
"346",2.917,3.354,3.521,3.604,3.625,80,"Male","South","Yes"
"347",2.208,3.708,3.813,3.5,3.021,74,"Male","South","No"
"348",2.708,3.458,3.688,3,3.271,58,"Male","South","No"
"349",3,3.813,4.146,3.896,3.396,58,"Male","South","Yes"
"350",2.542,3.104,3.833,3.833,3.313,77,"Male","South","Yes"
"351",3.479,3.542,3.625,3.646,3.063,72,"Male","North","Yes"
"352",3.396,3.75,4.042,4.063,3.396,73,"Male","North","No"
"353",1.729,4.063,3.854,3.438,4.292,59,"Male","South","No"
"354",3.271,2.875,3.458,3.354,2.792,65,"Male","North","No"
"355",3.271,3.604,3.104,3.271,3.292,33,"Male","North","No"
"356",3.479,3.375,4.208,3.708,3.5,61,"Male","North","No"
"357",2.25,3.667,3.688,3.813,3.854,60,"Male","South","No"
"358",2.979,3.396,3.417,3.125,2.438,35,"Male","South","No"
"359",2.792,3.896,4.208,3.313,3.229,71,"Male","South","No"
"360",2.792,3.813,3.625,3.604,3.229,65,"Male","South","No"
"361",3.313,3.438,3.313,3.354,2.896,47,"Male","North","No"
"362",3.542,3.375,3.667,3.25,3.083,80,"Male","North","No"
"363",2.375,3.771,3.792,3.396,3.063,65,"Male","South","No"
"364",3.167,3.521,3.854,3.167,3.396,55,"Male","North","No"
"365",2.75,3.854,4.313,3.542,2.75,73,"Male","South","No"
"366",2.625,3.042,3.729,3.417,3.083,78,"Male","South","No"
"367",2.333,3.083,4,3.588,4.083,40,"Male","South","No"
"368",2.208,3.583,3.583,4.146,2.938,41,"Male","South","No"
"369",2.396,3.417,3.563,3.604,3.375,56,"Male","South","No"
"370",2.479,3.646,3.604,3.646,3.708,71,"Male","South","No"
"371",3.292,3.354,3.813,3.042,3.063,74,"Male","North","No"
"372",2.5,3.542,4.083,3.833,3.333,23,"Male","South","No"
"373",2.667,3.5,3.563,3.313,3.125,51,"Male","South","No"
"374",2.875,2.958,3.375,3.521,3.354,56,"Male","South","No"
"375",1.938,3.021,3.167,3.292,2.813,32,"Male","South","No"
"376",2.354,3.618,3.375,3.875,3.458,18,"Male","South","No"
"377",2.833,3.521,3.396,2.917,3.188,72,"Male","South","No"
"378",3.021,3.771,4.021,3.396,3.104,65,"Male","North","No"
"379",2.292,3.729,3.792,3.792,3.417,22,"Male","South","No"
"380",2.229,4.125,4.458,4.146,3.813,65,"Male","South","No"
"381",3.229,3.583,3.333,3.021,3.063,55,"Male","North","No"
"382",3.229,3.438,3.396,3.292,3.188,64,"Male","North","No"
"383",2.875,3.563,3.479,3.315,3.208,59,"Male","South","No"
"384",1.688,4.25,3.938,3.625,3.646,38,"Male","South","No"
"385",2.583,3.333,3.563,3.5,3.417,25,"Male","South","No"
"386",2.438,3.708,3.167,3.521,3.146,48,"Male","South","No"
"387",2.521,3.688,3.604,3.396,3.958,62,"Male","South","No"
"388",2.79,2.5,3.979,3.854,3.646,31,"Male","South","No"
"389",3.958,2.792,4.083,3.417,3.375,69,"Male","North","No"
"390",3.188,3.229,3.479,4.063,3.354,37,"Male","North","No"
"391",3.125,2.792,3.417,3.292,3.375,80,"Male","North","No"
"392",3.563,2.354,3.25,3.25,2.792,32,"Male","North","No"
"393",3.646,3.708,3.542,4.021,2.292,53,"Male","North","No"
"394",3.654,3.979,3.602,3.583,2.792,24,"Male","North","No"
"395",2.021,3.729,3.438,3.667,3.708,18,"Male","South","No"
"396",2.729,3.667,2.938,3.521,3.063,74,"Male","South","No"
"397",2.188,3.229,3.354,3.205,3.604,23,"Male","South","No"
"398",2.583,3.646,3.708,3.271,3.938,33,"Male","South","No"
"399",2.646,3.979,4.063,3.104,3.25,34,"Male","South","No"
"400",2.792,3.583,3.917,3.75,2.354,56,"Male","South","No"
"401",3.071,3.333,3.792,4.271,3.833,20,"Male","North","No"
"402",3.479,2.688,3.333,2.875,2.646,60,"Male","North","No"
"403",3.125,3.417,4.083,3.396,3.146,50,"Male","North","No"
